,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 November 2018 00:00,298,250,All Island
1,1 November 2018 00:15,307,255,All Island
2,1 November 2018 00:30,315,272,All Island
3,1 November 2018 00:45,323,286,All Island
4,1 November 2018 01:00,333,322,All Island
5,1 November 2018 01:15,345,305,All Island
6,1 November 2018 01:30,357,313,All Island
7,1 November 2018 01:45,369,360,All Island
8,1 November 2018 02:00,377,347,All Island
9,1 November 2018 02:15,381,361,All Island
10,1 November 2018 02:30,384,383,All Island
11,1 November 2018 02:45,388,410,All Island
12,1 November 2018 03:00,395,398,All Island
13,1 November 2018 03:15,407,437,All Island
14,1 November 2018 03:30,418,428,All Island
15,1 November 2018 03:45,429,446,All Island
16,1 November 2018 04:00,436,488,All Island
17,1 November 2018 04:15,437,499,All Island
18,1 November 2018 04:30,438,526,All Island
19,1 November 2018 04:45,439,540,All Island
20,1 November 2018 05:00,441,558,All Island
21,1 November 2018 05:15,445,546,All Island
22,1 November 2018 05:30,449,531,All Island
23,1 November 2018 05:45,453,542,All Island
24,1 November 2018 06:00,436,534,All Island
25,1 November 2018 06:15,434,533,All Island
26,1 November 2018 06:30,432,553,All Island
27,1 November 2018 06:45,429,588,All Island
28,1 November 2018 07:00,434,557,All Island
29,1 November 2018 07:15,445,543,All Island
30,1 November 2018 07:30,456,521,All Island
31,1 November 2018 07:45,468,487,All Island
32,1 November 2018 08:00,473,490,All Island
33,1 November 2018 08:15,474,523,All Island
34,1 November 2018 08:30,474,490,All Island
35,1 November 2018 08:45,475,459,All Island
36,1 November 2018 09:00,480,412,All Island
37,1 November 2018 09:15,490,396,All Island
38,1 November 2018 09:30,499,405,All Island
39,1 November 2018 09:45,509,367,All Island
40,1 November 2018 10:00,513,343,All Island
41,1 November 2018 10:15,511,343,All Island
42,1 November 2018 10:30,510,355,All Island
43,1 November 2018 10:45,508,326,All Island
44,1 November 2018 11:00,513,340,All Island
45,1 November 2018 11:15,525,376,All Island
46,1 November 2018 11:30,538,371,All Island
47,1 November 2018 11:45,551,410,All Island
48,1 November 2018 12:00,527,489,All Island
49,1 November 2018 12:15,545,476,All Island
50,1 November 2018 12:30,564,458,All Island
51,1 November 2018 12:45,582,472,All Island
52,1 November 2018 13:00,606,570,All Island
53,1 November 2018 13:15,635,530,All Island
54,1 November 2018 13:30,664,582,All Island
55,1 November 2018 13:45,693,571,All Island
56,1 November 2018 14:00,703,636,All Island
57,1 November 2018 14:15,693,627,All Island
58,1 November 2018 14:30,684,593,All Island
59,1 November 2018 14:45,674,532,All Island
60,1 November 2018 15:00,667,534,All Island
61,1 November 2018 15:15,663,471,All Island
62,1 November 2018 15:30,658,476,All Island
63,1 November 2018 15:45,654,452,All Island
64,1 November 2018 16:00,642,491,All Island
65,1 November 2018 16:15,621,497,All Island
66,1 November 2018 16:30,600,526,All Island
67,1 November 2018 16:45,580,522,All Island
68,1 November 2018 17:00,565,541,All Island
69,1 November 2018 17:15,555,526,All Island
70,1 November 2018 17:30,546,509,All Island
71,1 November 2018 17:45,537,559,All Island
72,1 November 2018 18:00,563,545,All Island
73,1 November 2018 18:15,560,517,All Island
74,1 November 2018 18:30,558,528,All Island
75,1 November 2018 18:45,556,502,All Island
76,1 November 2018 19:00,559,503,All Island
77,1 November 2018 19:15,567,529,All Island
78,1 November 2018 19:30,576,511,All Island
79,1 November 2018 19:45,585,510,All Island
80,1 November 2018 20:00,585,535,All Island
81,1 November 2018 20:15,576,518,All Island
82,1 November 2018 20:30,568,516,All Island
83,1 November 2018 20:45,559,501,All Island
84,1 November 2018 21:00,554,498,All Island
85,1 November 2018 21:15,553,506,All Island
86,1 November 2018 21:30,552,496,All Island
87,1 November 2018 21:45,550,471,All Island
88,1 November 2018 22:00,549,468,All Island
89,1 November 2018 22:15,547,461,All Island
90,1 November 2018 22:30,545,418,All Island
91,1 November 2018 22:45,543,469,All Island
92,1 November 2018 23:00,532,432,All Island
93,1 November 2018 23:15,511,403,All Island
94,1 November 2018 23:30,490,410,All Island
95,1 November 2018 23:45,468,421,All Island
96,2 November 2018 00:00,394,404,All Island
97,2 November 2018 00:15,375,384,All Island
98,2 November 2018 00:30,357,352,All Island
99,2 November 2018 00:45,339,336,All Island
100,2 November 2018 01:00,324,309,All Island
101,2 November 2018 01:15,314,277,All Island
102,2 November 2018 01:30,304,270,All Island
103,2 November 2018 01:45,294,244,All Island
104,2 November 2018 02:00,277,228,All Island
105,2 November 2018 02:15,255,201,All Island
106,2 November 2018 02:30,232,195,All Island
107,2 November 2018 02:45,210,174,All Island
108,2 November 2018 03:00,192,156,All Island
109,2 November 2018 03:15,178,157,All Island
110,2 November 2018 03:30,165,152,All Island
111,2 November 2018 03:45,151,147,All Island
112,2 November 2018 04:00,141,131,All Island
113,2 November 2018 04:15,133,115,All Island
114,2 November 2018 04:30,125,103,All Island
115,2 November 2018 04:45,117,116,All Island
116,2 November 2018 05:00,114,101,All Island
117,2 November 2018 05:15,114,96,All Island
118,2 November 2018 05:30,115,110,All Island
119,2 November 2018 05:45,116,122,All Island
120,2 November 2018 06:00,152,141,All Island
121,2 November 2018 06:15,178,162,All Island
122,2 November 2018 06:30,204,182,All Island
123,2 November 2018 06:45,229,226,All Island
124,2 November 2018 07:00,259,277,All Island
125,2 November 2018 07:15,293,337,All Island
126,2 November 2018 07:30,326,383,All Island
127,2 November 2018 07:45,360,429,All Island
128,2 November 2018 08:00,401,504,All Island
129,2 November 2018 08:15,449,570,All Island
130,2 November 2018 08:30,497,646,All Island
131,2 November 2018 08:45,545,729,All Island
132,2 November 2018 09:00,595,782,All Island
133,2 November 2018 09:15,645,846,All Island
134,2 November 2018 09:30,696,912,All Island
135,2 November 2018 09:45,746,974,All Island
136,2 November 2018 10:00,793,999,All Island
137,2 November 2018 10:15,838,1007,All Island
138,2 November 2018 10:30,882,1070,All Island
139,2 November 2018 10:45,926,1150,All Island
140,2 November 2018 11:00,1171,1216,All Island
141,2 November 2018 11:15,1221,1273,All Island
142,2 November 2018 11:30,1272,1314,All Island
143,2 November 2018 11:45,1322,1378,All Island
144,2 November 2018 12:00,1386,1492,All Island
145,2 November 2018 12:15,1465,1620,All Island
146,2 November 2018 12:30,1544,1708,All Island
147,2 November 2018 12:45,1623,1819,All Island
148,2 November 2018 13:00,1711,1920,All Island
149,2 November 2018 13:15,1808,2022,All Island
150,2 November 2018 13:30,1904,2140,All Island
151,2 November 2018 13:45,2001,2332,All Island
152,2 November 2018 14:00,2097,2468,All Island
153,2 November 2018 14:15,2193,2578,All Island
154,2 November 2018 14:30,2289,2713,All Island
155,2 November 2018 14:45,2385,2793,All Island
156,2 November 2018 15:00,2471,2849,All Island
157,2 November 2018 15:15,2547,2841,All Island
158,2 November 2018 15:30,2622,2937,All Island
159,2 November 2018 15:45,2698,3014,All Island
160,2 November 2018 16:00,2766,3060,All Island
161,2 November 2018 16:15,2825,3110,All Island
162,2 November 2018 16:30,2885,3130,All Island
163,2 November 2018 16:45,2944,3242,All Island
164,2 November 2018 17:00,2998,3370,All Island
165,2 November 2018 17:15,3046,3421,All Island
166,2 November 2018 17:30,3094,3418,All Island
167,2 November 2018 17:45,3143,3437,All Island
168,2 November 2018 18:00,3224,3463,All Island
169,2 November 2018 18:15,3262,3452,All Island
170,2 November 2018 18:30,3299,3546,All Island
171,2 November 2018 18:45,3337,3517,All Island
172,2 November 2018 19:00,2908,3506,All Island
173,2 November 2018 19:15,2925,3556,All Island
174,2 November 2018 19:30,2940,3572,All Island
175,2 November 2018 19:45,2955,3625,All Island
176,2 November 2018 20:00,2969,3668,All Island
177,2 November 2018 20:15,2982,3649,All Island
178,2 November 2018 20:30,2994,3645,All Island
179,2 November 2018 20:45,3006,3633,All Island
180,2 November 2018 21:00,3017,3625,All Island
181,2 November 2018 21:15,3024,3604,All Island
182,2 November 2018 21:30,3030,3569,All Island
183,2 November 2018 21:45,3036,3434,All Island
184,2 November 2018 22:00,3041,3405,All Island
185,2 November 2018 22:15,3045,3323,All Island
186,2 November 2018 22:30,3049,3265,All Island
187,2 November 2018 22:45,3053,3212,All Island
188,2 November 2018 23:00,3056,3098,All Island
189,2 November 2018 23:15,3059,3088,All Island
190,2 November 2018 23:30,3062,3044,All Island
191,2 November 2018 23:45,3065,3060,All Island
192,3 November 2018 00:00,3522,3046,All Island
193,3 November 2018 00:15,3522,3048,All Island
194,3 November 2018 00:30,3522,2960,All Island
195,3 November 2018 00:45,3522,2889,All Island
196,3 November 2018 01:00,3523,2843,All Island
197,3 November 2018 01:15,3524,2866,All Island
198,3 November 2018 01:30,3526,2851,All Island
199,3 November 2018 01:45,3528,2851,All Island
200,3 November 2018 02:00,3531,2778,All Island
201,3 November 2018 02:15,3535,2758,All Island
202,3 November 2018 02:30,3539,2696,All Island
203,3 November 2018 02:45,3543,2674,All Island
204,3 November 2018 03:00,3546,2644,All Island
205,3 November 2018 03:15,3547,2638,All Island
206,3 November 2018 03:30,3549,2625,All Island
207,3 November 2018 03:45,3550,2610,All Island
208,3 November 2018 04:00,3546,2580,All Island
209,3 November 2018 04:15,3537,2584,All Island
210,3 November 2018 04:30,3528,2570,All Island
211,3 November 2018 04:45,3519,2562,All Island
212,3 November 2018 05:00,3507,2557,All Island
213,3 November 2018 05:15,3494,2562,All Island
214,3 November 2018 05:30,3481,2566,All Island
215,3 November 2018 05:45,3468,2567,All Island
216,3 November 2018 06:00,3502,2598,All Island
217,3 November 2018 06:15,3478,2626,All Island
218,3 November 2018 06:30,3454,2716,All Island
219,3 November 2018 06:45,3430,2698,All Island
220,3 November 2018 07:00,3405,2749,All Island
221,3 November 2018 07:15,3379,2851,All Island
222,3 November 2018 07:30,3353,2821,All Island
223,3 November 2018 07:45,3326,2893,All Island
224,3 November 2018 08:00,3298,2966,All Island
225,3 November 2018 08:15,3267,3023,All Island
226,3 November 2018 08:30,3237,3094,All Island
227,3 November 2018 08:45,3206,3112,All Island
228,3 November 2018 09:00,3181,3243,All Island
229,3 November 2018 09:15,3160,3290,All Island
230,3 November 2018 09:30,3139,3393,All Island
231,3 November 2018 09:45,3118,3395,All Island
232,3 November 2018 10:00,3098,3416,All Island
233,3 November 2018 10:15,3078,3444,All Island
234,3 November 2018 10:30,3058,3415,All Island
235,3 November 2018 10:45,3038,3443,All Island
236,3 November 2018 11:00,3026,3404,All Island
237,3 November 2018 11:15,3021,3407,All Island
238,3 November 2018 11:30,3016,3367,All Island
239,3 November 2018 11:45,3011,3371,All Island
240,3 November 2018 12:00,3077,3359,All Island
241,3 November 2018 12:15,3067,3336,All Island
242,3 November 2018 12:30,3058,3361,All Island
243,3 November 2018 12:45,3049,3413,All Island
244,3 November 2018 13:00,3038,3337,All Island
245,3 November 2018 13:15,3025,3290,All Island
246,3 November 2018 13:30,3012,3216,All Island
247,3 November 2018 13:45,2999,3189,All Island
248,3 November 2018 14:00,2983,3171,All Island
249,3 November 2018 14:15,2963,3181,All Island
250,3 November 2018 14:30,2944,3180,All Island
251,3 November 2018 14:45,2925,3129,All Island
252,3 November 2018 15:00,2915,3146,All Island
253,3 November 2018 15:15,2916,3111,All Island
254,3 November 2018 15:30,2917,3128,All Island
255,3 November 2018 15:45,2918,3045,All Island
256,3 November 2018 16:00,2919,2981,All Island
257,3 November 2018 16:15,2919,3001,All Island
258,3 November 2018 16:30,2919,2955,All Island
259,3 November 2018 16:45,2919,2952,All Island
260,3 November 2018 17:00,2920,3005,All Island
261,3 November 2018 17:15,2923,3011,All Island
262,3 November 2018 17:30,2925,2919,All Island
263,3 November 2018 17:45,2927,2900,All Island
264,3 November 2018 18:00,2756,2909,All Island
265,3 November 2018 18:15,2768,2875,All Island
266,3 November 2018 18:30,2780,2870,All Island
267,3 November 2018 18:45,2792,2859,All Island
268,3 November 2018 19:00,2797,2905,All Island
269,3 November 2018 19:15,2796,2942,All Island
270,3 November 2018 19:30,2795,2967,All Island
271,3 November 2018 19:45,2794,2959,All Island
272,3 November 2018 20:00,2791,2953,All Island
273,3 November 2018 20:15,2786,2909,All Island
274,3 November 2018 20:30,2782,2809,All Island
275,3 November 2018 20:45,2777,2816,All Island
276,3 November 2018 21:00,2780,2795,All Island
277,3 November 2018 21:15,2791,2699,All Island
278,3 November 2018 21:30,2802,2655,All Island
279,3 November 2018 21:45,2813,2569,All Island
280,3 November 2018 22:00,2817,2565,All Island
281,3 November 2018 22:15,2814,2527,All Island
282,3 November 2018 22:30,2810,2414,All Island
283,3 November 2018 22:45,2807,2366,All Island
284,3 November 2018 23:00,2805,2347,All Island
285,3 November 2018 23:15,2805,2337,All Island
286,3 November 2018 23:30,2804,2411,All Island
287,3 November 2018 23:45,2804,2411,All Island
288,4 November 2018 00:00,2603,2423,All Island
289,4 November 2018 00:15,2585,2401,All Island
290,4 November 2018 00:30,2567,2353,All Island
291,4 November 2018 00:45,2550,2321,All Island
292,4 November 2018 01:00,2539,2292,All Island
293,4 November 2018 01:15,2535,2290,All Island
294,4 November 2018 01:30,2530,2225,All Island
295,4 November 2018 01:45,2526,2147,All Island
296,4 November 2018 02:00,2524,2119,All Island
297,4 November 2018 02:15,2523,2083,All Island
298,4 November 2018 02:30,2521,2050,All Island
299,4 November 2018 02:45,2520,2017,All Island
300,4 November 2018 03:00,2515,1956,All Island
301,4 November 2018 03:15,2507,1956,All Island
302,4 November 2018 03:30,2498,1955,All Island
303,4 November 2018 03:45,2490,1932,All Island
304,4 November 2018 04:00,2474,1936,All Island
305,4 November 2018 04:15,2451,1937,All Island
306,4 November 2018 04:30,2427,1934,All Island
307,4 November 2018 04:45,2404,1913,All Island
308,4 November 2018 05:00,2378,1899,All Island
309,4 November 2018 05:15,2348,1874,All Island
310,4 November 2018 05:30,2319,1846,All Island
311,4 November 2018 05:45,2289,1848,All Island
312,4 November 2018 06:00,2070,1870,All Island
313,4 November 2018 06:15,2029,1871,All Island
314,4 November 2018 06:30,1988,1894,All Island
315,4 November 2018 06:45,1947,1961,All Island
316,4 November 2018 07:00,1908,1992,All Island
317,4 November 2018 07:15,1871,2055,All Island
318,4 November 2018 07:30,1834,2050,All Island
319,4 November 2018 07:45,1797,2025,All Island
320,4 November 2018 08:00,1760,2012,All Island
321,4 November 2018 08:15,1723,2010,All Island
322,4 November 2018 08:30,1686,1925,All Island
323,4 November 2018 08:45,1649,1894,All Island
324,4 November 2018 09:00,1617,1848,All Island
325,4 November 2018 09:15,1591,1683,All Island
326,4 November 2018 09:30,1564,1573,All Island
327,4 November 2018 09:45,1538,1593,All Island
328,4 November 2018 10:00,1502,1569,All Island
329,4 November 2018 10:15,1455,1513,All Island
330,4 November 2018 10:30,1409,1437,All Island
331,4 November 2018 10:45,1362,1428,All Island
332,4 November 2018 11:00,1317,1413,All Island
333,4 November 2018 11:15,1274,1390,All Island
334,4 November 2018 11:30,1230,1353,All Island
335,4 November 2018 11:45,1187,1358,All Island
336,4 November 2018 12:00,1000,1345,All Island
337,4 November 2018 12:15,948,1271,All Island
338,4 November 2018 12:30,897,1220,All Island
339,4 November 2018 12:45,846,1147,All Island
340,4 November 2018 13:00,788,1117,All Island
341,4 November 2018 13:15,724,1033,All Island
342,4 November 2018 13:30,660,1008,All Island
343,4 November 2018 13:45,595,928,All Island
344,4 November 2018 14:00,551,774,All Island
345,4 November 2018 14:15,526,641,All Island
346,4 November 2018 14:30,501,578,All Island
347,4 November 2018 14:45,476,498,All Island
348,4 November 2018 15:00,455,461,All Island
349,4 November 2018 15:15,439,436,All Island
350,4 November 2018 15:30,423,358,All Island
351,4 November 2018 15:45,406,359,All Island
352,4 November 2018 16:00,389,331,All Island
353,4 November 2018 16:15,371,337,All Island
354,4 November 2018 16:30,354,317,All Island
355,4 November 2018 16:45,336,302,All Island
356,4 November 2018 17:00,321,312,All Island
357,4 November 2018 17:15,309,292,All Island
358,4 November 2018 17:30,297,268,All Island
359,4 November 2018 17:45,285,282,All Island
360,4 November 2018 18:00,289,257,All Island
361,4 November 2018 18:15,278,244,All Island
362,4 November 2018 18:30,266,242,All Island
363,4 November 2018 18:45,255,254,All Island
364,4 November 2018 19:00,248,265,All Island
365,4 November 2018 19:15,246,256,All Island
366,4 November 2018 19:30,244,250,All Island
367,4 November 2018 19:45,242,251,All Island
368,4 November 2018 20:00,245,238,All Island
369,4 November 2018 20:15,253,242,All Island
370,4 November 2018 20:30,260,270,All Island
371,4 November 2018 20:45,268,285,All Island
372,4 November 2018 21:00,281,299,All Island
373,4 November 2018 21:15,298,313,All Island
374,4 November 2018 21:30,316,322,All Island
375,4 November 2018 21:45,333,313,All Island
376,4 November 2018 22:00,356,315,All Island
377,4 November 2018 22:15,385,332,All Island
378,4 November 2018 22:30,414,351,All Island
379,4 November 2018 22:45,443,395,All Island
380,4 November 2018 23:00,475,411,All Island
381,4 November 2018 23:15,509,438,All Island
382,4 November 2018 23:30,544,483,All Island
383,4 November 2018 23:45,578,537,All Island
384,5 November 2018 00:00,383,535,All Island
385,5 November 2018 00:15,405,569,All Island
386,5 November 2018 00:30,428,620,All Island
387,5 November 2018 00:45,451,629,All Island
388,5 November 2018 01:00,476,694,All Island
389,5 November 2018 01:15,503,724,All Island
390,5 November 2018 01:30,530,720,All Island
391,5 November 2018 01:45,557,734,All Island
392,5 November 2018 02:00,576,771,All Island
393,5 November 2018 02:15,587,780,All Island
394,5 November 2018 02:30,598,800,All Island
395,5 November 2018 02:45,608,771,All Island
396,5 November 2018 03:00,622,722,All Island
397,5 November 2018 03:15,637,688,All Island
398,5 November 2018 03:30,652,695,All Island
399,5 November 2018 03:45,668,686,All Island
400,5 November 2018 04:00,686,686,All Island
401,5 November 2018 04:15,707,729,All Island
402,5 November 2018 04:30,727,756,All Island
403,5 November 2018 04:45,748,790,All Island
404,5 November 2018 05:00,759,802,All Island
405,5 November 2018 05:15,761,793,All Island
406,5 November 2018 05:30,762,783,All Island
407,5 November 2018 05:45,763,765,All Island
408,5 November 2018 06:00,713,745,All Island
409,5 November 2018 06:15,702,701,All Island
410,5 November 2018 06:30,690,638,All Island
411,5 November 2018 06:45,679,621,All Island
412,5 November 2018 07:00,675,604,All Island
413,5 November 2018 07:15,677,625,All Island
414,5 November 2018 07:30,679,614,All Island
415,5 November 2018 07:45,681,615,All Island
416,5 November 2018 08:00,678,585,All Island
417,5 November 2018 08:15,678,557,All Island
418,5 November 2018 08:30,678,539,All Island
419,5 November 2018 08:45,678,518,All Island
420,5 November 2018 09:00,675,482,All Island
421,5 November 2018 09:15,669,443,All Island
422,5 November 2018 09:30,663,427,All Island
423,5 November 2018 09:45,658,417,All Island
424,5 November 2018 10:00,650,384,All Island
425,5 November 2018 10:15,642,351,All Island
426,5 November 2018 10:30,633,310,All Island
427,5 November 2018 10:45,624,274,All Island
428,5 November 2018 11:00,617,231,All Island
429,5 November 2018 11:15,610,200,All Island
430,5 November 2018 11:30,603,189,All Island
431,5 November 2018 11:45,596,175,All Island
432,5 November 2018 12:00,379,165,All Island
433,5 November 2018 12:15,379,167,All Island
434,5 November 2018 12:30,379,170,All Island
435,5 November 2018 12:45,379,163,All Island
436,5 November 2018 13:00,379,177,All Island
437,5 November 2018 13:15,378,181,All Island
438,5 November 2018 13:30,378,203,All Island
439,5 November 2018 13:45,377,228,All Island
440,5 November 2018 14:00,383,242,All Island
441,5 November 2018 14:15,393,246,All Island
442,5 November 2018 14:30,404,250,All Island
443,5 November 2018 14:45,415,249,All Island
444,5 November 2018 15:00,418,255,All Island
445,5 November 2018 15:15,414,259,All Island
446,5 November 2018 15:30,409,295,All Island
447,5 November 2018 15:45,405,320,All Island
448,5 November 2018 16:00,406,342,All Island
449,5 November 2018 16:15,413,380,All Island
450,5 November 2018 16:30,421,403,All Island
451,5 November 2018 16:45,428,449,All Island
452,5 November 2018 17:00,454,536,All Island
453,5 November 2018 17:15,493,570,All Island
454,5 November 2018 17:30,532,672,All Island
455,5 November 2018 17:45,571,702,All Island
456,5 November 2018 18:00,636,763,All Island
457,5 November 2018 18:15,655,765,All Island
458,5 November 2018 18:30,674,811,All Island
459,5 November 2018 18:45,692,857,All Island
460,5 November 2018 19:00,703,910,All Island
461,5 November 2018 19:15,704,897,All Island
462,5 November 2018 19:30,706,967,All Island
463,5 November 2018 19:45,708,1004,All Island
464,5 November 2018 20:00,721,1038,All Island
465,5 November 2018 20:15,747,1032,All Island
466,5 November 2018 20:30,772,1002,All Island
467,5 November 2018 20:45,798,1029,All Island
468,5 November 2018 21:00,824,1068,All Island
469,5 November 2018 21:15,850,1145,All Island
470,5 November 2018 21:30,877,1209,All Island
471,5 November 2018 21:45,904,1312,All Island
472,5 November 2018 22:00,937,1374,All Island
473,5 November 2018 22:15,977,1487,All Island
474,5 November 2018 22:30,1017,1551,All Island
475,5 November 2018 22:45,1057,1594,All Island
476,5 November 2018 23:00,1100,1595,All Island
477,5 November 2018 23:15,1145,1659,All Island
478,5 November 2018 23:30,1190,1744,All Island
479,5 November 2018 23:45,1235,1855,All Island
480,6 November 2018 00:00,1435,1793,All Island
481,6 November 2018 00:15,1479,1810,All Island
482,6 November 2018 00:30,1523,1841,All Island
483,6 November 2018 00:45,1567,1941,All Island
484,6 November 2018 01:00,1605,1948,All Island
485,6 November 2018 01:15,1636,1979,All Island
486,6 November 2018 01:30,1667,2017,All Island
487,6 November 2018 01:45,1698,1992,All Island
488,6 November 2018 02:00,1741,2068,All Island
489,6 November 2018 02:15,1796,2039,All Island
490,6 November 2018 02:30,1851,2030,All Island
491,6 November 2018 02:45,1906,1972,All Island
492,6 November 2018 03:00,1960,1956,All Island
493,6 November 2018 03:15,2012,1947,All Island
494,6 November 2018 03:30,2064,1930,All Island
495,6 November 2018 03:45,2116,1947,All Island
496,6 November 2018 04:00,2165,1947,All Island
497,6 November 2018 04:15,2212,1918,All Island
498,6 November 2018 04:30,2258,1930,All Island
499,6 November 2018 04:45,2305,1923,All Island
500,6 November 2018 05:00,2351,1938,All Island
501,6 November 2018 05:15,2398,1974,All Island
502,6 November 2018 05:30,2444,1964,All Island
503,6 November 2018 05:45,2491,2001,All Island
504,6 November 2018 06:00,2528,2092,All Island
505,6 November 2018 06:15,2565,2335,All Island
506,6 November 2018 06:30,2601,2420,All Island
507,6 November 2018 06:45,2638,2605,All Island
508,6 November 2018 07:00,2673,2657,All Island
509,6 November 2018 07:15,2706,2890,All Island
510,6 November 2018 07:30,2739,2989,All Island
511,6 November 2018 07:45,2772,3026,All Island
512,6 November 2018 08:00,2778,3078,All Island
513,6 November 2018 08:15,2789,3115,All Island
514,6 November 2018 08:30,2801,3102,All Island
515,6 November 2018 08:45,2812,3076,All Island
516,6 November 2018 09:00,2798,3009,All Island
517,6 November 2018 09:15,2758,3059,All Island
518,6 November 2018 09:30,2719,3056,All Island
519,6 November 2018 09:45,2680,3068,All Island
520,6 November 2018 10:00,2632,3024,All Island
521,6 November 2018 10:15,2576,2948,All Island
522,6 November 2018 10:30,2519,2844,All Island
523,6 November 2018 10:45,2463,2766,All Island
524,6 November 2018 11:00,2415,2802,All Island
525,6 November 2018 11:15,2374,2784,All Island
526,6 November 2018 11:30,2333,2659,All Island
527,6 November 2018 11:45,2291,2585,All Island
528,6 November 2018 12:00,2422,2618,All Island
529,6 November 2018 12:15,2383,2596,All Island
530,6 November 2018 12:30,2345,2535,All Island
531,6 November 2018 12:45,2306,2602,All Island
532,6 November 2018 13:00,2266,2599,All Island
533,6 November 2018 13:15,2222,2605,All Island
534,6 November 2018 13:30,2179,2611,All Island
535,6 November 2018 13:45,2136,2594,All Island
536,6 November 2018 14:00,2087,2522,All Island
537,6 November 2018 14:15,2032,2369,All Island
538,6 November 2018 14:30,1976,2380,All Island
539,6 November 2018 14:45,1921,2293,All Island
540,6 November 2018 15:00,1862,2204,All Island
541,6 November 2018 15:15,1799,2151,All Island
542,6 November 2018 15:30,1736,1985,All Island
543,6 November 2018 15:45,1672,2043,All Island
544,6 November 2018 16:00,1599,2007,All Island
545,6 November 2018 16:15,1516,1953,All Island
546,6 November 2018 16:30,1433,1867,All Island
547,6 November 2018 16:45,1350,1729,All Island
548,6 November 2018 17:00,1278,1732,All Island
549,6 November 2018 17:15,1215,1645,All Island
550,6 November 2018 17:30,1153,1521,All Island
551,6 November 2018 17:45,1090,1490,All Island
552,6 November 2018 18:00,1034,1423,All Island
553,6 November 2018 18:15,985,1414,All Island
554,6 November 2018 18:30,936,1335,All Island
555,6 November 2018 18:45,887,1296,All Island
556,6 November 2018 19:00,1005,1233,All Island
557,6 November 2018 19:15,955,1191,All Island
558,6 November 2018 19:30,905,1115,All Island
559,6 November 2018 19:45,855,1113,All Island
560,6 November 2018 20:00,808,1080,All Island
561,6 November 2018 20:15,766,970,All Island
562,6 November 2018 20:30,723,1012,All Island
563,6 November 2018 20:45,681,1045,All Island
564,6 November 2018 21:00,642,986,All Island
565,6 November 2018 21:15,607,940,All Island
566,6 November 2018 21:30,572,894,All Island
567,6 November 2018 21:45,537,852,All Island
568,6 November 2018 22:00,502,835,All Island
569,6 November 2018 22:15,467,773,All Island
570,6 November 2018 22:30,431,727,All Island
571,6 November 2018 22:45,395,726,All Island
572,6 November 2018 23:00,363,717,All Island
573,6 November 2018 23:15,335,642,All Island
574,6 November 2018 23:30,307,641,All Island
575,6 November 2018 23:45,279,476,All Island
576,7 November 2018 00:00,456,437,All Island
577,7 November 2018 00:15,424,359,All Island
578,7 November 2018 00:30,392,312,All Island
579,7 November 2018 00:45,360,266,All Island
580,7 November 2018 01:00,327,178,All Island
581,7 November 2018 01:15,292,196,All Island
582,7 November 2018 01:30,258,219,All Island
583,7 November 2018 01:45,224,250,All Island
584,7 November 2018 02:00,198,228,All Island
585,7 November 2018 02:15,181,254,All Island
586,7 November 2018 02:30,163,266,All Island
587,7 November 2018 02:45,146,271,All Island
588,7 November 2018 03:00,136,244,All Island
589,7 November 2018 03:15,134,268,All Island
590,7 November 2018 03:30,131,286,All Island
591,7 November 2018 03:45,129,326,All Island
592,7 November 2018 04:00,137,369,All Island
593,7 November 2018 04:15,155,388,All Island
594,7 November 2018 04:30,173,401,All Island
595,7 November 2018 04:45,190,401,All Island
596,7 November 2018 05:00,226,402,All Island
597,7 November 2018 05:15,280,377,All Island
598,7 November 2018 05:30,333,403,All Island
599,7 November 2018 05:45,387,394,All Island
600,7 November 2018 06:00,407,410,All Island
601,7 November 2018 06:15,487,457,All Island
602,7 November 2018 06:30,567,590,All Island
603,7 November 2018 06:45,647,641,All Island
604,7 November 2018 07:00,733,823,All Island
605,7 November 2018 07:15,823,890,All Island
606,7 November 2018 07:30,914,1113,All Island
607,7 November 2018 07:45,1005,1181,All Island
608,7 November 2018 08:00,1088,1321,All Island
609,7 November 2018 08:15,1162,1337,All Island
610,7 November 2018 08:30,1235,1353,All Island
611,7 November 2018 08:45,1309,1350,All Island
612,7 November 2018 09:00,1379,1316,All Island
613,7 November 2018 09:15,1446,1309,All Island
614,7 November 2018 09:30,1512,1260,All Island
615,7 November 2018 09:45,1578,1260,All Island
616,7 November 2018 10:00,1636,1270,All Island
617,7 November 2018 10:15,1685,1250,All Island
618,7 November 2018 10:30,1735,1244,All Island
619,7 November 2018 10:45,1784,1384,All Island
620,7 November 2018 11:00,1829,1385,All Island
621,7 November 2018 11:15,1870,1496,All Island
622,7 November 2018 11:30,1911,1578,All Island
623,7 November 2018 11:45,1952,1652,All Island
624,7 November 2018 12:00,1790,1610,All Island
625,7 November 2018 12:15,1800,1615,All Island
626,7 November 2018 12:30,1810,1754,All Island
627,7 November 2018 12:45,1820,1793,All Island
628,7 November 2018 13:00,1848,1734,All Island
629,7 November 2018 13:15,1895,1893,All Island
630,7 November 2018 13:30,1942,1865,All Island
631,7 November 2018 13:45,1989,1903,All Island
632,7 November 2018 14:00,2016,1900,All Island
633,7 November 2018 14:15,2023,1955,All Island
