,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 March 2020 00:00,3328,-,Ireland
1,1 March 2020 00:15,3306,-,Ireland
2,1 March 2020 00:30,3238,-,Ireland
3,1 March 2020 00:45,3169,-,Ireland
4,1 March 2020 01:00,3090,-,Ireland
5,1 March 2020 01:15,3069,-,Ireland
6,1 March 2020 01:30,3045,-,Ireland
7,1 March 2020 01:45,3009,-,Ireland
8,1 March 2020 02:00,2990,-,Ireland
9,1 March 2020 02:15,2958,-,Ireland
10,1 March 2020 02:30,2937,-,Ireland
11,1 March 2020 02:45,2900,-,Ireland
12,1 March 2020 03:00,2852,-,Ireland
13,1 March 2020 03:15,2841,-,Ireland
14,1 March 2020 03:30,2819,-,Ireland
15,1 March 2020 03:45,2810,-,Ireland
16,1 March 2020 04:00,2824,-,Ireland
17,1 March 2020 04:15,2812,-,Ireland
18,1 March 2020 04:30,2792,-,Ireland
19,1 March 2020 04:45,2786,-,Ireland
20,1 March 2020 05:00,2781,-,Ireland
21,1 March 2020 05:15,2806,-,Ireland
22,1 March 2020 05:30,2771,-,Ireland
23,1 March 2020 05:45,2792,-,Ireland
24,1 March 2020 06:00,2803,-,Ireland
25,1 March 2020 06:15,2829,-,Ireland
26,1 March 2020 06:30,2837,-,Ireland
27,1 March 2020 06:45,2873,-,Ireland
28,1 March 2020 07:00,2883,-,Ireland
29,1 March 2020 07:15,2888,-,Ireland
30,1 March 2020 07:30,2918,-,Ireland
31,1 March 2020 07:45,2981,-,Ireland
32,1 March 2020 08:00,3041,-,Ireland
33,1 March 2020 08:15,3089,-,Ireland
34,1 March 2020 08:30,3147,-,Ireland
35,1 March 2020 08:45,3228,-,Ireland
36,1 March 2020 09:00,3283,-,Ireland
37,1 March 2020 09:15,3373,-,Ireland
38,1 March 2020 09:30,3476,-,Ireland
39,1 March 2020 09:45,3509,-,Ireland
40,1 March 2020 10:00,3577,-,Ireland
41,1 March 2020 10:15,3634,-,Ireland
42,1 March 2020 10:30,3696,-,Ireland
43,1 March 2020 10:45,3704,-,Ireland
44,1 March 2020 11:00,3729,-,Ireland
45,1 March 2020 11:15,3745,-,Ireland
46,1 March 2020 11:30,3775,-,Ireland
47,1 March 2020 11:45,3813,-,Ireland
48,1 March 2020 12:00,3831,-,Ireland
49,1 March 2020 12:15,3903,-,Ireland
50,1 March 2020 12:30,3888,-,Ireland
51,1 March 2020 12:45,3874,-,Ireland
52,1 March 2020 13:00,3908,-,Ireland
53,1 March 2020 13:15,3903,-,Ireland
54,1 March 2020 13:30,3836,-,Ireland
55,1 March 2020 13:45,3822,-,Ireland
56,1 March 2020 14:00,3798,-,Ireland
57,1 March 2020 14:15,3735,-,Ireland
58,1 March 2020 14:30,3726,-,Ireland
59,1 March 2020 14:45,3664,-,Ireland
60,1 March 2020 15:00,3681,-,Ireland
61,1 March 2020 15:15,3678,-,Ireland
62,1 March 2020 15:30,3662,-,Ireland
63,1 March 2020 15:45,3647,-,Ireland
64,1 March 2020 16:00,3683,-,Ireland
65,1 March 2020 16:15,3719,-,Ireland
66,1 March 2020 16:30,3738,-,Ireland
67,1 March 2020 16:45,3686,-,Ireland
68,1 March 2020 17:00,3759,-,Ireland
69,1 March 2020 17:15,3826,-,Ireland
70,1 March 2020 17:30,3890,-,Ireland
71,1 March 2020 17:45,3936,-,Ireland
72,1 March 2020 18:00,4001,-,Ireland
73,1 March 2020 18:15,4110,-,Ireland
74,1 March 2020 18:30,4214,-,Ireland
75,1 March 2020 18:45,4272,-,Ireland
76,1 March 2020 19:00,4284,-,Ireland
77,1 March 2020 19:15,4236,-,Ireland
78,1 March 2020 19:30,4198,-,Ireland
79,1 March 2020 19:45,4172,-,Ireland
80,1 March 2020 20:00,4103,-,Ireland
81,1 March 2020 20:15,4052,-,Ireland
82,1 March 2020 20:30,4001,-,Ireland
83,1 March 2020 20:45,3983,-,Ireland
84,1 March 2020 21:00,3908,-,Ireland
85,1 March 2020 21:15,3840,-,Ireland
86,1 March 2020 21:30,3741,-,Ireland
87,1 March 2020 21:45,3661,-,Ireland
88,1 March 2020 22:00,3570,-,Ireland
89,1 March 2020 22:15,3488,-,Ireland
90,1 March 2020 22:30,3393,-,Ireland
91,1 March 2020 22:45,3310,-,Ireland
92,1 March 2020 23:00,3308,-,Ireland
93,1 March 2020 23:15,3337,-,Ireland
94,1 March 2020 23:30,3258,-,Ireland
95,1 March 2020 23:45,3220,-,Ireland
96,2 March 2020 00:00,3150,-,Ireland
97,2 March 2020 00:15,3113,-,Ireland
98,2 March 2020 00:30,3067,-,Ireland
99,2 March 2020 00:45,3005,-,Ireland
100,2 March 2020 01:00,2994,-,Ireland
101,2 March 2020 01:15,2958,-,Ireland
102,2 March 2020 01:30,2919,-,Ireland
103,2 March 2020 01:45,2892,-,Ireland
104,2 March 2020 02:00,2878,-,Ireland
105,2 March 2020 02:15,2862,-,Ireland
106,2 March 2020 02:30,2840,-,Ireland
107,2 March 2020 02:45,2825,-,Ireland
108,2 March 2020 03:00,2783,-,Ireland
109,2 March 2020 03:15,2791,-,Ireland
110,2 March 2020 03:30,2765,-,Ireland
111,2 March 2020 03:45,2758,-,Ireland
112,2 March 2020 04:00,2775,-,Ireland
113,2 March 2020 04:15,2788,-,Ireland
114,2 March 2020 04:30,2800,-,Ireland
115,2 March 2020 04:45,2800,-,Ireland
116,2 March 2020 05:00,2802,-,Ireland
117,2 March 2020 05:15,2863,-,Ireland
118,2 March 2020 05:30,2860,-,Ireland
119,2 March 2020 05:45,2920,-,Ireland
120,2 March 2020 06:00,3016,-,Ireland
121,2 March 2020 06:15,3199,-,Ireland
122,2 March 2020 06:30,3338,-,Ireland
123,2 March 2020 06:45,3477,-,Ireland
124,2 March 2020 07:00,3602,-,Ireland
125,2 March 2020 07:15,3785,-,Ireland
126,2 March 2020 07:30,3886,-,Ireland
127,2 March 2020 07:45,3979,-,Ireland
128,2 March 2020 08:00,4037,-,Ireland
129,2 March 2020 08:15,4040,-,Ireland
130,2 March 2020 08:30,4055,-,Ireland
131,2 March 2020 08:45,4107,-,Ireland
132,2 March 2020 09:00,4162,-,Ireland
133,2 March 2020 09:15,4212,-,Ireland
134,2 March 2020 09:30,4224,-,Ireland
135,2 March 2020 09:45,4234,-,Ireland
136,2 March 2020 10:00,4245,-,Ireland
137,2 March 2020 10:15,4222,-,Ireland
138,2 March 2020 10:30,4231,-,Ireland
139,2 March 2020 10:45,4177,-,Ireland
140,2 March 2020 11:00,4192,-,Ireland
141,2 March 2020 11:15,4166,-,Ireland
142,2 March 2020 11:30,4184,-,Ireland
143,2 March 2020 11:45,4170,-,Ireland
144,2 March 2020 12:00,4205,-,Ireland
145,2 March 2020 12:15,4251,-,Ireland
146,2 March 2020 12:30,4212,-,Ireland
147,2 March 2020 12:45,4242,-,Ireland
148,2 March 2020 13:00,4256,-,Ireland
149,2 March 2020 13:15,4220,-,Ireland
150,2 March 2020 13:30,4200,-,Ireland
151,2 March 2020 13:45,4194,-,Ireland
152,2 March 2020 14:00,4230,-,Ireland
153,2 March 2020 14:15,4202,-,Ireland
154,2 March 2020 14:30,4197,-,Ireland
155,2 March 2020 14:45,4192,-,Ireland
156,2 March 2020 15:00,4205,-,Ireland
157,2 March 2020 15:15,4229,-,Ireland
158,2 March 2020 15:30,4222,-,Ireland
159,2 March 2020 15:45,4200,-,Ireland
160,2 March 2020 16:00,4175,-,Ireland
161,2 March 2020 16:15,4215,-,Ireland
162,2 March 2020 16:30,4292,-,Ireland
163,2 March 2020 16:45,4364,-,Ireland
164,2 March 2020 17:00,4391,-,Ireland
165,2 March 2020 17:15,4434,-,Ireland
166,2 March 2020 17:30,4461,-,Ireland
167,2 March 2020 17:45,4503,-,Ireland
168,2 March 2020 18:00,4536,-,Ireland
169,2 March 2020 18:15,4597,-,Ireland
170,2 March 2020 18:30,4701,-,Ireland
171,2 March 2020 18:45,4744,-,Ireland
172,2 March 2020 19:00,4746,-,Ireland
173,2 March 2020 19:15,4674,-,Ireland
174,2 March 2020 19:30,4666,-,Ireland
175,2 March 2020 19:45,4595,-,Ireland
176,2 March 2020 20:00,4554,-,Ireland
177,2 March 2020 20:15,4491,-,Ireland
178,2 March 2020 20:30,4414,-,Ireland
179,2 March 2020 20:45,4347,-,Ireland
180,2 March 2020 21:00,4273,-,Ireland
181,2 March 2020 21:15,4194,-,Ireland
182,2 March 2020 21:30,4125,-,Ireland
183,2 March 2020 21:45,4033,-,Ireland
184,2 March 2020 22:00,3925,-,Ireland
185,2 March 2020 22:15,3808,-,Ireland
186,2 March 2020 22:30,3706,-,Ireland
187,2 March 2020 22:45,3582,-,Ireland
188,2 March 2020 23:00,3532,-,Ireland
189,2 March 2020 23:15,3542,-,Ireland
190,2 March 2020 23:30,3449,-,Ireland
191,2 March 2020 23:45,3382,-,Ireland
192,3 March 2020 00:00,3307,-,Ireland
193,3 March 2020 00:15,3257,-,Ireland
194,3 March 2020 00:30,3192,-,Ireland
195,3 March 2020 00:45,3155,-,Ireland
196,3 March 2020 01:00,3086,-,Ireland
197,3 March 2020 01:15,3048,-,Ireland
198,3 March 2020 01:30,3025,-,Ireland
199,3 March 2020 01:45,2980,-,Ireland
200,3 March 2020 02:00,2959,-,Ireland
201,3 March 2020 02:15,2952,-,Ireland
202,3 March 2020 02:30,2927,-,Ireland
203,3 March 2020 02:45,2965,-,Ireland
204,3 March 2020 03:00,2917,-,Ireland
205,3 March 2020 03:15,2925,-,Ireland
206,3 March 2020 03:30,2895,-,Ireland
207,3 March 2020 03:45,2890,-,Ireland
208,3 March 2020 04:00,2887,-,Ireland
209,3 March 2020 04:15,2882,-,Ireland
210,3 March 2020 04:30,2885,-,Ireland
211,3 March 2020 04:45,2886,-,Ireland
212,3 March 2020 05:00,2900,-,Ireland
213,3 March 2020 05:15,2963,-,Ireland
214,3 March 2020 05:30,3007,-,Ireland
215,3 March 2020 05:45,3030,-,Ireland
216,3 March 2020 06:00,3122,-,Ireland
217,3 March 2020 06:15,3287,-,Ireland
218,3 March 2020 06:30,3397,-,Ireland
219,3 March 2020 06:45,3593,-,Ireland
220,3 March 2020 07:00,3721,-,Ireland
221,3 March 2020 07:15,3915,-,Ireland
222,3 March 2020 07:30,4018,-,Ireland
223,3 March 2020 07:45,4114,-,Ireland
224,3 March 2020 08:00,4141,-,Ireland
225,3 March 2020 08:15,4160,-,Ireland
226,3 March 2020 08:30,4150,-,Ireland
227,3 March 2020 08:45,4145,-,Ireland
228,3 March 2020 09:00,4197,-,Ireland
229,3 March 2020 09:15,4211,-,Ireland
230,3 March 2020 09:30,4221,-,Ireland
231,3 March 2020 09:45,4203,-,Ireland
232,3 March 2020 10:00,4169,-,Ireland
233,3 March 2020 10:15,4162,-,Ireland
234,3 March 2020 10:30,4180,-,Ireland
235,3 March 2020 10:45,4164,-,Ireland
236,3 March 2020 11:00,4156,-,Ireland
