,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 July 2019 00:00,2114,1904,All Island
1,1 July 2019 00:15,2121,1916,All Island
2,1 July 2019 00:30,2128,1886,All Island
3,1 July 2019 00:45,2135,1838,All Island
4,1 July 2019 01:00,2023,1881,All Island
5,1 July 2019 01:15,2024,1922,All Island
6,1 July 2019 01:30,2026,1845,All Island
7,1 July 2019 01:45,2027,1827,All Island
8,1 July 2019 02:00,2033,1754,All Island
9,1 July 2019 02:15,2042,1813,All Island
10,1 July 2019 02:30,2051,1865,All Island
11,1 July 2019 02:45,2061,1832,All Island
12,1 July 2019 03:00,2061,1773,All Island
13,1 July 2019 03:15,2052,1801,All Island
14,1 July 2019 03:30,2043,1843,All Island
15,1 July 2019 03:45,2034,1836,All Island
16,1 July 2019 04:00,2024,1838,All Island
17,1 July 2019 04:15,2013,1819,All Island
18,1 July 2019 04:30,2001,1767,All Island
19,1 July 2019 04:45,1990,1783,All Island
20,1 July 2019 05:00,1973,1830,All Island
21,1 July 2019 05:15,1950,1894,All Island
22,1 July 2019 05:30,1928,1878,All Island
23,1 July 2019 05:45,1905,1911,All Island
24,1 July 2019 06:00,1883,2005,All Island
25,1 July 2019 06:15,1862,2033,All Island
26,1 July 2019 06:30,1841,2062,All Island
27,1 July 2019 06:45,1819,2015,All Island
28,1 July 2019 07:00,1565,2163,All Island
29,1 July 2019 07:15,1541,2045,All Island
30,1 July 2019 07:30,1518,2082,All Island
31,1 July 2019 07:45,1494,2075,All Island
32,1 July 2019 08:00,1480,2038,All Island
33,1 July 2019 08:15,1477,2084,All Island
34,1 July 2019 08:30,1473,1998,All Island
35,1 July 2019 08:45,1469,1870,All Island
36,1 July 2019 09:00,1453,1917,All Island
37,1 July 2019 09:15,1422,1951,All Island
38,1 July 2019 09:30,1392,1965,All Island
39,1 July 2019 09:45,1362,1935,All Island
40,1 July 2019 10:00,1338,1912,All Island
41,1 July 2019 10:15,1320,1972,All Island
42,1 July 2019 10:30,1302,1891,All Island
43,1 July 2019 10:45,1284,1824,All Island
44,1 July 2019 11:00,1266,1819,All Island
45,1 July 2019 11:15,1247,1748,All Island
46,1 July 2019 11:30,1228,1606,All Island
47,1 July 2019 11:45,1209,1512,All Island
48,1 July 2019 12:00,1189,1430,All Island
49,1 July 2019 12:15,1167,1473,All Island
50,1 July 2019 12:30,1144,1424,All Island
51,1 July 2019 12:45,1122,1380,All Island
52,1 July 2019 13:00,1099,1319,All Island
53,1 July 2019 13:15,1064,1199,All Island
54,1 July 2019 13:30,1028,1239,All Island
55,1 July 2019 13:45,992,1159,All Island
56,1 July 2019 14:00,963,1047,All Island
57,1 July 2019 14:15,941,1142,All Island
58,1 July 2019 14:30,919,1035,All Island
59,1 July 2019 14:45,897,1009,All Island
60,1 July 2019 15:00,883,1110,All Island
61,1 July 2019 15:15,876,977,All Island
62,1 July 2019 15:30,869,975,All Island
63,1 July 2019 15:45,863,991,All Island
64,1 July 2019 16:00,864,957,All Island
65,1 July 2019 16:15,874,986,All Island
66,1 July 2019 16:30,883,1016,All Island
67,1 July 2019 16:45,893,1014,All Island
68,1 July 2019 17:00,893,1010,All Island
69,1 July 2019 17:15,885,948,All Island
70,1 July 2019 17:30,877,918,All Island
71,1 July 2019 17:45,868,921,All Island
72,1 July 2019 18:00,859,959,All Island
73,1 July 2019 18:15,847,916,All Island
74,1 July 2019 18:30,836,896,All Island
75,1 July 2019 18:45,825,930,All Island
76,1 July 2019 19:00,721,854,All Island
77,1 July 2019 19:15,694,834,All Island
78,1 July 2019 19:30,666,823,All Island
79,1 July 2019 19:45,639,776,All Island
80,1 July 2019 20:00,614,761,All Island
81,1 July 2019 20:15,593,723,All Island
82,1 July 2019 20:30,572,689,All Island
83,1 July 2019 20:45,551,659,All Island
84,1 July 2019 21:00,525,612,All Island
85,1 July 2019 21:15,493,617,All Island
86,1 July 2019 21:30,461,652,All Island
87,1 July 2019 21:45,430,657,All Island
88,1 July 2019 22:00,408,639,All Island
89,1 July 2019 22:15,396,635,All Island
90,1 July 2019 22:30,385,648,All Island
91,1 July 2019 22:45,373,646,All Island
92,1 July 2019 23:00,367,650,All Island
93,1 July 2019 23:15,367,611,All Island
94,1 July 2019 23:30,367,564,All Island
95,1 July 2019 23:45,367,534,All Island
